protocol_label,power_W,time_s,gap_mm,vessel_diameter_mm,has_vessel,equivalent_lesion_diameter_mm,TCR,MDI,VUA_deg,DSC_target,PPV_target,target_area_px,lesion_area_px,tumor_area_px
balanced,60.0,600.0,nan,nan,0,31.10215015256244,1.0,0.0,0.0,0.7796950240770465,0.6393550510036196,1945,3039,709
balanced,60.0,600.0,0.0,3.0,1,29.125518822500005,0.9506346967559943,0.36904761904761907,31.0,0.7284164859002169,0.6300187617260788,1945,2665,709
balanced,60.0,600.0,2.0,3.0,1,29.580971537784905,0.998589562764457,0.32142857142857145,27.0,0.7452066467831274,0.6362313568570389,1945,2749,709
balanced,60.0,600.0,5.0,3.0,1,30.167001253015812,1.0,0.25,21.0,0.763946711074105,0.6418328086743617,1945,2859,709
balanced,60.0,600.0,0.0,5.0,1,28.78472917601288,0.9393511988716502,0.36904761904761907,31.0,0.7207563764291997,0.6296580868228967,1945,2603,709
balanced,60.0,600.0,2.0,5.0,1,29.375808098574183,0.998589562764457,0.32142857142857145,27.0,0.7401202749140894,0.6355588343784582,1945,2711,709
balanced,60.0,600.0,5.0,5.0,1,30.093049466494495,1.0,0.25,21.0,0.7636743215031315,0.6428822495606327,1945,2845,709
balanced,60.0,600.0,0.0,8.0,1,28.473413566169317,0.9393511988716502,0.39285714285714285,33.0,0.7181656277827249,0.6332940714566156,1945,2547,709
balanced,60.0,600.0,2.0,8.0,1,29.212819187109325,0.998589562764457,0.34523809523809523,29.0,0.7397319498486814,0.6381947034688549,1945,2681,709
balanced,60.0,600.0,5.0,8.0,1,30.02951727148938,1.0,0.25,21.0,0.7639179573043114,0.6441934345217084,1945,2833,709
aggressive,70.0,600.0,nan,nan,0,34.36002572548047,1.0,0.0,0.0,0.6880084895649098,0.5244001078457805,1945,3709,709
aggressive,70.0,600.0,0.0,3.0,1,32.28229495196602,0.9661495063469676,0.32142857142857145,27.0,0.6648783291818356,0.5299328039095907,1945,3274,709
aggressive,70.0,600.0,2.0,3.0,1,32.64508384034771,1.0,0.27380952380952384,23.0,0.6790100132250142,0.5367383512544803,1945,3348,709
aggressive,70.0,600.0,5.0,3.0,1,33.25848545091422,1.0,0.2261904761904762,19.0,0.6959409594095941,0.5427338129496403,1945,3475,709
aggressive,70.0,600.0,0.0,5.0,1,31.895429080722444,0.9605077574047954,0.34523809523809523,29.0,0.658626726317837,0.5297246558197747,1945,3196,709
aggressive,70.0,600.0,2.0,5.0,1,32.361080413741924,1.0,0.2976190476190476,25.0,0.6773638968481376,0.5389057750759878,1945,3290,709
aggressive,70.0,600.0,5.0,5.0,1,33.032806266468405,1.0,0.2261904761904762,19.0,0.6964451889075005,0.5457992998833139,1945,3428,709
aggressive,70.0,600.0,0.0,8.0,1,31.483598675760117,0.9576868829337094,0.36904761904761907,31.0,0.6566515121565527,0.5333975594091201,1945,3114,709
aggressive,70.0,600.0,2.0,8.0,1,32.1439557390279,1.0,0.32142857142857145,27.0,0.6777114236178,0.541897720271103,1945,3246,709
aggressive,70.0,600.0,5.0,8.0,1,33.00870703931185,1.0,0.2261904761904762,19.0,0.6982116244411326,0.5474729769208296,1945,3423,709
